round,action,optimal_action,reward,cumulative_reward,cumulative_regret
384,0,1,0,201,57.15823069139849
385,2,1,1,202,57.46346781408365
386,2,1,1,203,57.792282919476115
387,2,1,0,203,58.15650053290355
388,2,1,0,203,58.58631406714147
389,1,1,1,204,58.58631406714147
390,1,1,0,204,58.58631406714147
391,0,1,0,204,59.08514234648974
392,1,1,1,205,59.08514234648974
393,1,1,1,206,59.08514234648974
394,1,1,1,207,59.08514234648974
395,1,1,1,208,59.08514234648974
396,1,1,1,209,59.08514234648974
397,1,1,1,210,59.08514234648974
398,1,1,1,211,59.08514234648974
399,1,1,1,212,59.08514234648974
400,1,1,1,213,59.08514234648974
401,1,1,1,214,59.08514234648974
402,1,1,0,214,59.08514234648974
403,1,1,1,215,59.08514234648974
404,1,1,1,216,59.08514234648974
405,1,1,1,217,59.08514234648974
406,1,1,1,218,59.08514234648974
407,1,1,1,219,59.08514234648974
408,1,1,1,220,59.08514234648974
409,2,1,1,221,59.83368922287605
410,2,1,0,221,60.55826460258119
411,1,1,1,222,60.55826460258119
412,1,1,1,223,60.55826460258119
413,1,1,1,224,60.55826460258119
414,1,1,1,225,60.55826460258119
415,1,1,1,226,60.55826460258119
416,1,1,1,227,60.55826460258119
417,1,1,1,228,60.55826460258119
418,1,1,1,229,60.55826460258119
419,0,1,0,229,61.27586909236792
420,1,1,1,230,61.27586909236792
421,1,1,0,230,61.27586909236792
422,2,1,0,230,62.008771449062245
423,1,1,1,231,62.008771449062245
424,1,1,0,231,62.008771449062245
425,1,1,1,232,62.008771449062245
426,1,1,1,233,62.008771449062245
427,1,1,1,234,62.008771449062245
428,1,1,1,235,62.008771449062245
429,0,1,0,235,62.73038588488938
430,1,1,1,236,62.73038588488938
431,1,1,1,237,62.73038588488938
432,1,1,1,238,62.73038588488938
433,2,1,0,238,63.474802842733276
434,1,1,1,239,63.474802842733276
435,1,1,0,239,63.474802842733276
436,1,1,1,240,63.474802842733276
437,1,1,1,241,63.474802842733276
438,1,1,1,242,63.474802842733276
439,1,1,1,243,63.474802842733276
440,1,1,1,244,63.474802842733276
441,1,1,1,245,63.474802842733276
442,0,1,0,245,64.1904351753251
443,1,1,1,246,64.1904351753251
